"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.78759977860596,0.743,0.255,0,"0","Med21"
0,1.32051502029822,0.943,0.455,0,"0","Psip1"
0,2.25694371873232,0.641,0.155,0,"0","Ndrg3"
0,2.92086730793371,0.568,0.082,0,"0","Tmem178b"
0,2.8237908293458,0.575,0.09,0,"0","Dner"
0,2.4464689383063,0.604,0.119,0,"0","Rfx3"
0,2.95090498753026,0.566,0.081,0,"0","Wdr54"
0,2.77517655663728,0.563,0.079,0,"0","Meig1"
0,2.48482324334746,0.575,0.093,0,"0","Scg3"
0,2.11294626326566,0.582,0.1,0,"0","Spock2"
0,2.07845798284292,0.675,0.194,0,"0","Nme7"
0,1.42283002215153,0.807,0.326,0,"0","Cisd1"
0,2.49784140828166,0.601,0.12,0,"0","Arhgef28"
0,2.73793598651403,0.573,0.093,0,"0","A430035B10Rik"
0,2.54360526705604,0.581,0.101,0,"0","Kif5a"
0,2.64820224105168,0.998,0.518,0,"0","Ckb"
0,2.10248007163906,0.658,0.179,0,"0","Lias"
0,3.13416084620113,0.55,0.071,0,"0","Elmod1"
0,2.75459074043411,0.569,0.09,0,"0","Ksr2"
0,2.56206217402209,0.594,0.115,0,"0","Dusp8"
0,2.39070573088597,0.611,0.132,0,"0","Dync2h1"
0,1.61388934269576,0.787,0.309,0,"0","Kat6a"
0,2.74654033289277,0.571,0.093,0,"0","Scrn1"
0,2.94923325221535,0.557,0.08,0,"0","Lingo1"
0,2.09712408720423,0.63,0.154,0,"0","Rbm15b"
0,2.91135842011256,0.556,0.081,0,"0","A830018L16Rik"
0,2.06521357731458,0.64,0.167,0,"0","Lman2l"
0,1.44179256803977,0.833,0.361,0,"0","Kras"
0,2.94146788990711,0.552,0.081,0,"0","Rab3b"
0,3.15760932689173,0.536,0.065,0,"0","Scn4b"
0,3.08898166615231,0.541,0.071,0,"0","Trarg1"
0,1.46577243356549,0.736,0.266,0,"0","Klf7"
0,1.52243315602204,0.882,0.413,0,"0","Nudc"
0,1.61207832848388,0.932,0.463,0,"0","Pgam1"
0,2.31220990631316,0.572,0.103,0,"0","Trim66"
0,2.06792902127276,0.998,0.529,0,"0","Tuba1a"
0,2.09215716834245,0.999,0.531,0,"0","Map1b"
0,2.74438137714048,0.557,0.091,0,"0","B230369F24Rik"
0,2.74372408028372,0.561,0.095,0,"0","Ttc9"
0,2.24632619998609,0.582,0.116,0,"0","Sept3"
0,2.25275750555537,0.601,0.136,0,"0","Stx2"
0,2.19085756551999,0.609,0.145,0,"0","Pfn2"
0,2.24152970153106,0.588,0.124,0,"0","Cacna2d1"
0,2.52847703665068,0.578,0.114,0,"0","Arl6"
0,3.39444422355252,0.525,0.063,0,"0","B830017H08Rik"
0,1.66418679305361,0.741,0.279,0,"0","Ubxn2a"
0,2.56750904146964,0.57,0.108,0,"0","Cldn9"
0,1.7651777012391,0.686,0.227,0,"0","Hjurp"
0,2.07180624598928,0.59,0.131,0,"0","Ccp110"
0,1.77641646625723,0.662,0.204,0,"0","Casc4"
0,1.73893979282988,0.964,0.506,0,"0","Msi2"
0,1.97728266033197,0.654,0.197,0,"0","Grsf1"
0,1.4936346171953,0.691,0.234,0,"0","Ssbp2"
0,1.38218114891889,0.891,0.435,0,"0","Ypel3"
0,2.86385272541975,0.54,0.084,0,"0","Nwd1"
0,1.52581524318203,0.726,0.27,0,"0","Cspp1"
0,2.32400546844984,0.59,0.134,0,"0","Odf2l"
0,2.24739168694576,0.61,0.154,0,"0","Khdrbs3"
0,3.19482459370397,0.519,0.064,0,"0","Uckl1os"
0,1.54754835055844,0.727,0.273,0,"0","Appl1"
0,2.88789966248375,0.53,0.077,0,"0","Cfap206"
0,1.80776863379986,0.971,0.521,0,"0","Saraf"
0,2.65569250974175,0.539,0.09,0,"0","Dnm1"
0,1.63672947658206,0.69,0.241,0,"0","Ncoa1"
0,2.46222954111965,0.559,0.111,0,"0","Cdkl2"
0,1.4681342548901,0.795,0.348,0,"0","Cacybp"
0,2.61341538045437,0.538,0.091,0,"0","Add2"
0,1.73983675603279,0.664,0.217,0,"0","Sae1"
0,2.92075508016428,0.519,0.072,0,"0","Drc1"
0,2.25868141778761,0.552,0.106,0,"0","Soga3"
0,2.24136877478923,0.535,0.089,0,"0","Dcx"
0,2.64830490345419,0.539,0.094,0,"0","Slc4a8"
0,3.07858068151887,0.511,0.066,0,"0","Ccdc33"
0,1.7017004348105,0.695,0.25,0,"0","Lrrc59"
0,2.565026616751,0.555,0.111,0,"0","Slc25a33"
0,2.44220190177398,0.561,0.117,0,"0","Ptdss2"
