"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-Q7",5.26899704504531e-06,1.7475567769459,1,1,0.132404626744944
"Smco4",5.49741316778568e-06,-0.71553328354549,1,1,0.138144495493286
"Cd69",5.54528915536129e-06,1.09219777730724,1,1,0.139347571185074
"Rsu1",5.6782872088812e-06,-0.160648958023231,1,1,0.142689679271976
"Ube2l6",5.70654633572092e-06,1.34999065732822,1,1,0.143399802870331
"A630012P03Rik",5.80432253689942e-06,0.445303440019485,0.778,0.333,0.145856821029746
"Olfr56",6.04881543618962e-06,0.562105621735043,0.778,0.444,0.152000683096009
"Carmil1",6.25195475422169e-06,0.469153688320535,1,1,0.157105371018837
"Rbl1",6.25528450687687e-06,0.438171803416268,1,1,0.157189044373309
"Ankrd10",6.55655472047349e-06,-0.274037410963694,1,1,0.164759663570778
"Rpl28",6.76005860995018e-06,-0.304411963959575,1,1,0.169873512809438
"E530011L22Rik",6.80329151235653e-06,0.474407193788284,1,1,0.170959912414007
"Dck",6.92335017767916e-06,1.11520481141732,1,1,0.1739768666149
"Adh5",6.9480751451767e-06,-0.282824413224316,1,1,0.174598180323145
"Scn1b",7.01290507131604e-06,-0.337149256876698,1,1,0.176227291537101
"Cers2",7.11938812835891e-06,-0.226217373288526,1,1,0.178903104277531
"Kctd14",7.34551675165117e-06,0.841075478957558,1,1,0.184585490452242
"Selenop",7.64017423926488e-06,-0.583555734407664,1,1,0.191989938458487
"Gca",7.67244274571047e-06,0.600783357571325,1,1,0.192800813756958
"Gm8369",7.76012188841719e-06,0.519383111159371,1,0.889,0.195004102934036
"Dtx3l",7.83458859342772e-06,1.04386641917056,1,1,0.196875376764245
"Mslnl",8.07803342607452e-06,0.422282574514499,1,0.222,0.202992901963827
"Psme2b",8.12623230983232e-06,0.694866727486443,1,1,0.204204091713776
"Anxa4",8.32648687919871e-06,0.908666961295149,1,1,0.209236288787384
"Phf11c",8.33356443882643e-06,0.595107149441488,1,0.889,0.209414140783269
"Oas1c",8.43821865426982e-06,0.463831490906289,1,1,0.212043996563146
"Lipg",8.44412766048994e-06,0.78885161202456,0.889,0.667,0.212192483980452
"Chmp4b",8.47873379032978e-06,1.01429410964014,1,1,0.213062101417197
"Car13",8.56826714409574e-06,0.541627682443298,1,1,0.215311985063982
"Ccm2l",8.6050248328278e-06,-0.454669917500276,1,1,0.21623566902413
"Mat2a",8.68895587247209e-06,-0.195252295249444,1,1,0.218344772119351
"C130026I21Rik",8.72841485346176e-06,0.747902216461211,1,1,0.219336336852641
"Dnajb4",9.07615419597903e-06,-0.276053648655983,1,1,0.228074678790757
"Fam177a",9.34946718097527e-06,0.480427011307746,1,1,0.234942760790728
"Pf4",9.34973722223405e-06,-0.8399176472486,1,1,0.234949546657519
"Rpl26",9.53472993010495e-06,-0.304372037583633,1,1,0.239598228413607
"Hspa1a",9.60473988923036e-06,-0.692110299648341,1,1,0.24135750867647
"Kcnk13",9.66505051164057e-06,-0.28986974817226,1,1,0.242873054307016
"Pcgf5",9.73893741021828e-06,0.692911143568746,1,1,0.244729758181375
"S100a13",9.7506330832521e-06,-0.410024382386303,1,1,0.245023658749042
"Rps27a",9.86633289589862e-06,-0.28809126036057,1,1,0.247931079341036
"Pigp",9.89327659914708e-06,-0.420446168857045,1,1,0.248608147659967
"Gm12185",9.94674942677746e-06,0.524222843322831,1,0.889,0.249951866345491
"Hivep3",1.00781816597665e-05,0.500525900119769,1,1,0.253254626928271
"Ccl5",1.01780685849951e-05,2.40920370037086,1,1,0.255764685472342
"Paxbp1",1.02617520126497e-05,0.406543617330244,1,1,0.257867566325873
"Rps15a",1.02827470285496e-05,-0.435221926664566,1,1,0.258395150080422
"Frmd4a",1.03737517901183e-05,0.634517172466735,1,1,0.260682008733884
"Insyn2b",1.05460019952164e-05,0.386198504497547,0.889,0.778,0.265010484137794
"Cmtr1",1.07125576792677e-05,0.646707442220755,1,1,0.269195861922317
"Nucb1",1.0751491218219e-05,-0.240310593649108,1,1,0.270174222822625
"Rtp4",1.08146316181238e-05,1.1658880354084,1,1,0.271760877931834
"Setdb2",1.12064122982532e-05,0.756172566791928,1,1,0.281605934642805
"Gbp7",1.14420106635371e-05,0.933888595645026,1,1,0.287526285964023
"Chic1",1.15494353072665e-05,0.348679826141015,1,1,0.290225759836301
"Tor3a",1.16274970780462e-05,1.17349765648337,1,1,0.292187374074224
"Id2",1.16277018773905e-05,-0.402941308642477,1,1,0.292192520476945
"Gdi2",1.18331095044003e-05,-0.26041181791431,1,1,0.297354208736074
"Tsen34",1.1874177311015e-05,-0.287478908422468,1,1,0.298386201648496
"Sp110",1.1928134917044e-05,1.19623024389624,1,1,0.299742102330398
"Dnal4",1.19949517400998e-05,-0.278817943317199,1,1,0.301421142276968
"Hexb",1.23033605635898e-05,-0.576567252010145,1,1,0.309171147602448
"Pdk3",1.25323182398516e-05,0.619707495372274,1,1,0.314924625049231
"Ccdc173",1.28048650104957e-05,0.319432687514156,1,1,0.321773452848747
"Matr3",1.30615532210017e-05,-0.157704765858991,1,1,0.328223770890553
"5830416I19Rik",1.30817332205679e-05,0.41312900324928,0.889,0.111,0.328730874099652
"Gm36043",1.33228154269522e-05,0.47424721360237,0.889,0.667,0.334789028863882
"Sdccag8",1.36659775450055e-05,0.429271343800877,1,1,0.343412349728443
"Tap1",1.39133408544931e-05,1.1335942124987,1,1,0.349628342332558
"Clec14a",1.4439588881359e-05,-0.844366349244084,1,1,0.36285242899967
"Mitd1",1.51474969101259e-05,0.773930510544114,1,1,0.380641449854553
"Mcam",1.51875220401623e-05,-0.406249958214891,1,1,0.381647241347239
"Ms4a4c",1.5405138741269e-05,2.28582591661603,1,1,0.387115731429349
"Fgl2",1.54461889180801e-05,1.18992648009172,1,1,0.388147281322436
"Rps3a1",1.56679055316035e-05,-0.280025837666568,1,1,0.393718798103663
"Tars",1.58467824635672e-05,0.504592523451684,1,1,0.398213796526981
"Prdx3",1.64472321605293e-05,-0.242447323945834,1,1,0.413302496961941
"Ddx60",1.65114892263112e-05,1.06216930446167,1,1,0.414917212767974
"Trim12c",1.70385632953485e-05,0.623351896160569,1,1,0.428162057048812
"Mapk15",1.74658201536624e-05,0.42121879934734,0.889,0.111,0.438898594641382
"Gpr34",1.77454869707923e-05,-0.635399277750139,1,1,0.445926342089039
"Gpi1",1.7992328229333e-05,-0.263357808275407,1,1,0.452129216074909
"Rpl17",1.8067831704389e-05,-0.258218809020783,1,1,0.454026542899591
"Tex9",1.80873063082141e-05,0.460975960765195,1,1,0.454515920219112
"Erich1",1.81625608930472e-05,-0.378247963032797,1,1,0.456406992681383
"Tent4a",1.82298530386734e-05,0.76459279839855,1,1,0.458097977008823
"Ube2e3",1.82901749427476e-05,-0.238249530255413,1,1,0.459613806136304
"Tcof1",1.85179062009232e-05,0.521969690908757,1,1,0.465336464922999
"Mcee",1.85337807638359e-05,-0.373431461199206,1,1,0.465735376814433
"Rfc3",1.86554517425308e-05,0.409349145069035,1,1,0.468792846838056
"Kdelr1",1.88819258814836e-05,-0.335686363739257,1,1,0.474483915475802
"Gm16094",1.8992637487338e-05,0.375641631762992,1,0.778,0.477265987419318
"F830016B08Rik",1.92893583357009e-05,0.607007743845593,1,0.889,0.484722285617827
"Itpr1",1.93396168004285e-05,0.683623710277133,1,1,0.485985230577967
