"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,10.6721216470396,0.286,0,0,"15","Gm13861"
0,10.4587508708117,0.44,0.002,0,"15","Pln"
0,10.2722088863589,0.322,0.001,0,"15","Des"
0,9.72791882373388,0.943,0.008,0,"16","Muc2"
0,8.42005584241206,0.844,0.005,0,"16","Gldn"
0,8.31617565247674,0.985,0.047,0,"16","Sec14l3"
0,7.80729959736811,0.762,0.009,0,"16","Tex33"
0,7.80517124623166,0.581,0.003,0,"16","Nipal1"
0,6.59528702073853,0.456,0.007,0,"17","Tac1"
0,6.05440848238158,0.28,0.032,0,"17","Gm14744"
0,5.97545132576113,0.646,0.014,0,"17","Barx2"
0,5.57309663961849,0.316,0.035,0,"17","Lcn11"
0,5.47488266002434,0.509,0.022,0,"17","Bglap3"
0,10.5407970045154,0.286,0.001,0,"18","Mpo"
0,10.3816802592087,0.333,0.002,0,"18","Ctsg"
0,10.1204560773309,0.327,0.002,0,"18","Elane"
0,9.56103658341114,0.377,0.002,0,"18","Ms4a3"
0,8.87979486541039,0.43,0.014,0,"18","Prtn3"
0,3.19816542612279,0.533,0.018,0,"19","Mia"
0,2.46763913742298,0.275,0.051,0,"19","Mdga2"
0,2.26692279220832,0.541,0.16,0,"19","Dlg2"
8.96715866290112e-252,2.13937670179978,0.255,0.06,2.25335730040042e-247,"19","Gcnt7"
0,2.13891923594166,0.421,0.096,0,"19","Cidea"
0,11.7557930329472,0.943,0.005,0,"20","Car6"
0,11.0755732695851,0.983,0.008,0,"20","Scgb2b27"
0,10.9229527930786,0.899,0.006,0,"20","Scgb1b27"
0,10.7980453256077,0.395,0.001,0,"20","Csn3"
0,9.39897472343259,0.791,0.006,0,"20","Fbp1"
0,10.2094196615974,0.519,0.001,0,"21","Hmx3"
0,10.1319184753016,0.653,0.002,0,"21","Il25"
0,10.0004824421345,0.614,0.001,0,"21","Ly6g6f"
0,9.95456398176163,0.848,0.002,0,"21","Trpm5"
0,9.9207643592872,0.854,0.003,0,"21","Avil"
0,11.2690468970141,0.658,0.001,0,"22","Gpr37l1"
0,11.2313841340366,0.582,0,0,"22","Foxd3"
0,11.0597293598132,0.289,0,0,"22","Gm12688"
0,10.9729770515322,0.746,0.006,0,"22","Mpz"
0,10.790404756707,0.493,0.001,0,"22","Mmd2"
0,12.3935730579867,0.981,0.002,0,"23","Tmem212"
0,12.1428046675808,0.922,0.001,0,"23","Sntn"
0,11.9765377586201,0.721,0,0,"23","Fam216b"
0,11.9178611661466,0.839,0,0,"23","Dthd1"
0,11.5294410008343,0.404,0,0,"23","Gtsf1l"
0,6.81346764856991,0.631,0.015,0,"24","Hist1h1a"
0,6.40606295060866,0.682,0.017,0,"24","Myl4"
0,6.28500067677907,0.898,0.028,0,"24","Pclaf"
0,6.28012313943551,0.541,0.012,0,"24","Hist1h2ab"
0,6.26636751478808,0.818,0.033,0,"24","Hist1h1b"
0,8.02065785559794,0.545,0.002,0,"25","Btbd17"
0,8.00329200084586,0.729,0.004,0,"25","Neurog1"
0,7.76983489187782,0.983,0.009,0,"25","Neurod1"
0,7.29256864628997,0.291,0.002,0,"25","Zmat4"
0,7.12913681791669,0.421,0.003,0,"25","Miat"
0,16.0793519171542,0.273,0,0,"26","Lce3a"
0,15.9589586370006,0.495,0,0,"26","Clca4a"
0,15.1906133758388,0.981,0.001,0,"26","Csta1"
0,15.1064702513528,0.935,0,0,"26","Gm9573"
0,15.0534015402515,0.775,0,0,"26","Pbp2"
0,11.3889857555155,0.778,0.001,0,"27","Fezf2"
0,9.71775853723675,0.375,0.001,0,"27","Ctf2"
0,9.684901609941,0.576,0.001,0,"27","Otop1"
0,9.5135194362003,0.372,0.001,0,"27","Gulo"
0,8.83457098581432,0.319,0.001,0,"27","4931428L18Rik"
